42.879,0.707,1.285,42.904075738792
42.596,1.169,1.661,42.6443982018741
42.645,1.15,1.581,42.6897890132992
42.679,1.105,1.527,42.7206015290047
42.697,1.055,1.505,42.7365400915891
42.704,1.002,1.479,42.7413507156711
42.702,0.975,1.469,42.7383830999723
42.702,0.915,1.445,42.736238182601
42.678,0.861,1.419,42.7102630055119
42.642,0.788,1.369,42.6712463961389
42.583,0.72,1.237,42.607047046234
42.528,0.652,0.97,42.5440570232788
42.732,1.171,1.737,42.7833172393165
42.716,1.16,1.628,42.7627482746374
42.712,1.133,1.558,42.7554206738748
42.715,1.095,1.52,42.7560598044301
42.722,1.057,1.473,42.7604520789947
42.726,1.027,1.45,42.7629314359996
42.722,0.978,1.415,42.7566134416654
42.721,0.951,1.372,42.7536036609781
42.728,0.906,1.314,42.7577994756512
42.748,0.891,1.196,42.7740084747736
42.828,0.898,1.033,42.8498667092443
42.84,1.125,1.672,42.8873735381406
42.789,1.133,1.607,42.8341529506538
42.765,1.125,1.548,42.8077931456411
42.753,1.098,1.509,42.7937109164419
42.749,1.068,1.466,42.7874605579719
42.749,1.057,1.439,42.7862708237117
42.756,1.023,1.396,42.7910140216378
42.767,1,1.357,42.8002072191245
42.791,0.973,1.318,42.822348534381
42.833,0.969,1.256,42.8623656136709
42.942,0.988,1.205,42.9702633573498
42.883,1.126,1.567,42.9263911131602
42.825,1.129,1.539,42.8675143552784
42.797,1.125,1.504,42.8381938228026
42.785,1.103,1.477,42.8246933789373
42.781,1.075,1.434,42.8185233514655
42.777,1.072,1.414,42.8137864361469
42.788,1.045,1.38,42.8230004670387
42.801,1.03,1.351,42.8347020767041
42.824,1,1.332,42.8563787550932
42.866,0.992,1.301,42.8972099442376
42.936,0.981,1.313,42.9672715680202
42.905,1.137,1.478,42.9455035830295
42.858,1.137,1.463,42.8980337777852
42.831,1.125,1.431,42.8696623149751
42.815,1.114,1.416,42.8528911160029
42.807,1.091,1.381,42.8431638770995
42.807,1.087,1.365,42.8425494456154
42.81,1.072,1.342,42.8444424400645
42.822,1.052,1.318,42.8551923575195
42.846,1.026,1.306,42.8781765936939
42.868,1.003,1.284,42.8989520734481
42.907,0.965,1.292,42.9372930912045
42.923,1.133,1.405,42.9609315890612
42.88,1.136,1.386,42.9174310973991
42.845,1.144,1.366,42.8820325660993
42.829,1.125,1.35,42.8650366382673
42.818,1.114,1.323,42.8529164585096
42.822,1.102,1.323,42.8566029568374
42.829,1.087,1.308,42.8627539245905
42.841,1.072,1.284,42.8736413312422
42.86,1.053,1.277,42.891947239546
42.89,1.026,1.25,42.9204761856156
42.93,0.992,1.225,42.9589290951253
42.953,1.136,1.324,42.9884133342928
42.887,1.155,1.308,42.9224842943649
42.855,1.159,1.301,42.8904057686565
42.836,1.144,1.3,42.8709882321367
42.828,1.129,1.285,42.8621447200207
42.828,1.121,1.293,42.8621753297707
42.836,1.11,1.281,42.8695224722646
